Order_ID,Order_Date,Product_ID,Location_ID,Units_Sold,Revenue,Cost,Ad_Spend,Year,Month Name,Quarter,Start of Year,End of Year,TotalRevenue,ProductRank,TotalProfit,CityRank
ZiVA86,01-05-2025,OZ2,VA7,2,4398,2503.65,350.53,2025,May,2,01-01-2025,31-12-2025,532158,3,101495.94,5
ZiVA87,19-03-2025,OZ7,VA9,4,2396,1378.75,295.59,2025,March,1,01-01-2025,31-12-2025,195274,9,106096.5,2
ZiVA88,23-04-2024,OZ3,VA5,4,9996,6206.89,796.64,2024,April,2,01-01-2024,31-12-2024,652239,2,103391.5,4
ZiVA89,12-12-2024,OZ10,VA4,2,2998,2177.02,180.9,2024,December,4,01-01-2024,31-12-2024,487175,4,83645.5,8
ZiVA90,31-01-2025,OZ5,VA5,3,2397,1404.32,123.17,2025,January,1,01-01-2025,31-12-2025,286042,5,103391.5,4
ZiVA91,07-03-2025,OZ1,VA2,4,7996,5289.28,1171.4,2025,March,1,01-01-2025,31-12-2025,673663,1,103620.97,3
ZiVA92,23-11-2024,OZ6,VA6,1,799,579.79,67.72,2024,November,4,01-01-2024,31-12-2024,218926,8,76598.8,10
ZiVA93,11-04-2024,OZ10,VA8,3,4497,3054.39,663.14,2024,April,2,01-01-2024,31-12-2024,487175,4,82367.24,9
ZiVA94,09-07-2025,OZ6,VA8,1,799,497.35,59.91,2025,July,3,01-01-2025,31-12-2025,218926,8,82367.24,9
ZiVA95,03-10-2025,OZ8,VA8,5,2495,1643.97,361.51,2025,October,4,01-01-2025,31-12-2025,171656,10,82367.24,9
ZiVA96,31-05-2024,OZ4,VA1,5,4995,3509.04,661.18,2024,May,2,01-01-2024,31-12-2024,271728,7,109108.47,1
ZiVA97,14-09-2025,OZ10,VA2,1,1499,1093.38,215.28,2025,September,3,01-01-2025,31-12-2025,487175,4,103620.97,3
ZiVA98,03-03-2024,OZ8,VA9,4,1996,1223.81,115.01,2024,March,1,01-01-2024,31-12-2024,171656,10,106096.5,2
ZiVA99,11-03-2025,OZ8,VA7,3,1497,878.05,118.98,2025,March,1,01-01-2025,31-12-2025,171656,10,101495.94,5
ZiVA100,16-04-2024,OZ4,VA2,5,4995,3565.21,607.79,2024,April,2,01-01-2024,31-12-2024,271728,7,103620.97,3
ZiVA101,14-07-2025,OZ1,VA9,5,9995,6499.4,884.27,2025,July,3,01-01-2025,31-12-2025,673663,1,106096.5,2
ZiVA102,07-05-2024,OZ4,VA4,4,3996,2258.33,324.89,2024,May,2,01-01-2024,31-12-2024,271728,7,83645.5,8
ZiVA103,10-09-2024,OZ5,VA4,4,3196,2217.47,226.83,2024,September,3,01-01-2024,31-12-2024,286042,5,83645.5,8
ZiVA104,12-12-2025,OZ4,VA4,4,3996,2374.21,487.83,2025,December,4,01-01-2025,31-12-2025,271728,7,83645.5,8
ZiVA105,11-02-2025,OZ1,VA2,4,7996,4633.22,599.07,2025,February,1,01-01-2025,31-12-2025,673663,1,103620.97,3
ZiVA106,27-06-2024,OZ2,VA6,2,4398,2615.53,441.06,2024,June,2,01-01-2024,31-12-2024,532158,3,76598.8,10
ZiVA107,06-12-2024,OZ4,VA9,4,3996,2704.25,414.68,2024,December,4,01-01-2024,31-12-2024,271728,7,106096.5,2
ZiVA108,04-06-2025,OZ6,VA10,4,3196,1976.64,346.58,2025,June,2,01-01-2025,31-12-2025,218926,8,92967.49,6
ZiVA109,05-03-2025,OZ9,VA3,3,2697,1805.01,223.85,2025,March,1,01-01-2025,31-12-2025,283185,6,92016.54,7
ZiVA110,08-01-2026,OZ3,VA10,3,7497,4902.14,712.07,2026,January,1,01-01-2026,31-12-2026,652239,2,92967.49,6
ZiVA111,23-02-2025,OZ6,VA1,2,1598,1123.56,112.21,2025,February,1,01-01-2025,31-12-2025,218926,8,109108.47,1
ZiVA112,03-02-2026,OZ7,VA6,2,1198,736.44,112.88,2026,February,1,01-01-2026,31-12-2026,195274,9,76598.8,10
ZiVA113,08-08-2025,OZ4,VA9,2,1998,1345.73,177.29,2025,August,3,01-01-2025,31-12-2025,271728,7,106096.5,2
ZiVA114,27-12-2024,OZ8,VA7,4,1996,1440.52,135.68,2024,December,4,01-01-2024,31-12-2024,171656,10,101495.94,5
ZiVA115,19-01-2025,OZ7,VA5,4,2396,1645.98,167.92,2025,January,1,01-01-2025,31-12-2025,195274,9,103391.5,4
ZiVA116,17-05-2025,OZ8,VA8,3,1497,853.84,110.9,2025,May,2,01-01-2025,31-12-2025,171656,10,82367.24,9
ZiVA117,02-07-2025,OZ3,VA10,4,9996,7480.84,1446.73,2025,July,3,01-01-2025,31-12-2025,652239,2,92967.49,6
ZiVA118,17-04-2025,OZ3,VA1,2,4998,2905.12,366.64,2025,April,2,01-01-2025,31-12-2025,652239,2,109108.47,1
ZiVA119,31-10-2024,OZ8,VA2,4,1996,1359.29,243.35,2024,October,4,01-01-2024,31-12-2024,171656,10,103620.97,3
ZiVA120,11-01-2026,OZ9,VA3,1,899,568.99,71.65,2026,January,1,01-01-2026,31-12-2026,283185,6,92016.54,7
ZiVA121,21-11-2025,OZ10,VA6,4,5996,4148.85,567.57,2025,November,4,01-01-2025,31-12-2025,487175,4,76598.8,10
ZiVA122,23-04-2025,OZ6,VA6,2,1598,1178.68,115.01,2025,April,2,01-01-2025,31-12-2025,218926,8,76598.8,10
ZiVA123,10-08-2025,OZ9,VA3,3,2697,1526.02,203.13,2025,August,3,01-01-2025,31-12-2025,283185,6,92016.54,7
ZiVA124,06-06-2025,OZ6,VA4,5,3995,2650.55,593.13,2025,June,2,01-01-2025,31-12-2025,218926,8,83645.5,8
ZiVA125,25-09-2024,OZ1,VA7,1,1999,1104.75,130.07,2024,September,3,01-01-2024,31-12-2024,673663,1,101495.94,5
ZiVA126,06-02-2026,OZ10,VA4,4,5996,4179.24,531.35,2026,February,1,01-01-2026,31-12-2026,487175,4,83645.5,8
ZiVA127,03-08-2025,OZ1,VA1,5,9995,5870.01,1291.43,2025,August,3,01-01-2025,31-12-2025,673663,1,109108.47,1
ZiVA128,08-11-2025,OZ7,VA2,2,1198,745.93,92.64,2025,November,4,01-01-2025,31-12-2025,195274,9,103620.97,3
ZiVA129,29-01-2026,OZ6,VA3,4,3196,2082.68,384.96,2026,January,1,01-01-2026,31-12-2026,218926,8,92016.54,7
ZiVA130,29-09-2025,OZ5,VA8,4,3196,1911.86,476.98,2025,September,3,01-01-2025,31-12-2025,286042,5,82367.24,9
ZiVA131,10-02-2026,OZ3,VA1,5,12495,8885.27,687.35,2026,February,1,01-01-2026,31-12-2026,652239,2,109108.47,1
ZiVA132,27-01-2026,OZ3,VA9,5,12495,7109,852.33,2026,January,1,01-01-2026,31-12-2026,652239,2,106096.5,2
ZiVA133,14-10-2024,OZ8,VA6,1,499,331.51,58.6,2024,October,4,01-01-2024,31-12-2024,171656,10,76598.8,10
ZiVA134,04-04-2025,OZ3,VA3,5,12495,7465.77,1062.37,2025,April,2,01-01-2025,31-12-2025,652239,2,92016.54,7
ZiVA135,19-06-2025,OZ3,VA3,4,9996,7050.09,1250.48,2025,June,2,01-01-2025,31-12-2025,652239,2,92016.54,7
ZiVA136,05-08-2024,OZ10,VA1,5,7495,4665.24,1055.78,2024,August,3,01-01-2024,31-12-2024,487175,4,109108.47,1
ZiVA137,26-11-2024,OZ10,VA10,3,4497,2786.3,347.78,2024,November,4,01-01-2024,31-12-2024,487175,4,92967.49,6
ZiVA138,18-04-2024,OZ5,VA5,3,2397,1542.2,346.53,2024,April,2,01-01-2024,31-12-2024,286042,5,103391.5,4
ZiVA139,20-04-2024,OZ8,VA10,2,998,667.74,54.86,2024,April,2,01-01-2024,31-12-2024,171656,10,92967.49,6
ZiVA140,14-12-2025,OZ4,VA2,2,1998,1316.18,143.13,2025,December,4,01-01-2025,31-12-2025,271728,7,103620.97,3
ZiVA141,29-09-2024,OZ4,VA9,5,4995,3481.88,395.45,2024,September,3,01-01-2024,31-12-2024,271728,7,106096.5,2
ZiVA142,08-05-2025,OZ5,VA5,2,1598,963.32,106.64,2025,May,2,01-01-2025,31-12-2025,286042,5,103391.5,4
ZiVA143,21-04-2024,OZ5,VA10,4,3196,1877.74,220.93,2024,April,2,01-01-2024,31-12-2024,286042,5,92967.49,6
ZiVA144,06-10-2025,OZ2,VA1,3,6597,4899.15,665.58,2025,October,4,01-01-2025,31-12-2025,532158,3,109108.47,1
ZiVA145,04-12-2025,OZ2,VA2,1,2199,1274.47,260.02,2025,December,4,01-01-2025,31-12-2025,532158,3,103620.97,3
ZiVA146,10-04-2024,OZ9,VA4,2,1798,1101.7,251.55,2024,April,2,01-01-2024,31-12-2024,283185,6,83645.5,8
ZiVA147,30-06-2024,OZ9,VA6,2,1798,1284.51,187.13,2024,June,2,01-01-2024,31-12-2024,283185,6,76598.8,10
ZiVA148,07-11-2024,OZ9,VA9,2,1798,1121.77,203.39,2024,November,4,01-01-2024,31-12-2024,283185,6,106096.5,2
ZiVA149,11-09-2024,OZ4,VA5,2,1998,1156.4,249.41,2024,September,3,01-01-2024,31-12-2024,271728,7,103391.5,4
ZiVA150,08-12-2025,OZ9,VA7,4,3596,2628.49,262.01,2025,December,4,01-01-2025,31-12-2025,283185,6,101495.94,5
ZiVA151,05-09-2025,OZ9,VA9,4,3596,2428.15,232.28,2025,September,3,01-01-2025,31-12-2025,283185,6,106096.5,2
ZiVA152,02-02-2026,OZ6,VA2,5,3995,2452.49,476.93,2026,February,1,01-01-2026,31-12-2026,218926,8,103620.97,3
ZiVA153,05-05-2024,OZ2,VA5,4,8796,5118.87,1258.07,2024,May,2,01-01-2024,31-12-2024,532158,3,103391.5,4
ZiVA154,01-06-2025,OZ3,VA7,1,2499,1697.72,277.26,2025,June,2,01-01-2025,31-12-2025,652239,2,101495.94,5
ZiVA155,03-12-2024,OZ10,VA9,2,2998,1927.63,237.58,2024,December,4,01-01-2024,31-12-2024,487175,4,106096.5,2
ZiVA156,17-02-2025,OZ2,VA3,3,6597,4421.21,791.57,2025,February,1,01-01-2025,31-12-2025,532158,3,92016.54,7
ZiVA157,21-01-2025,OZ8,VA4,5,2495,1621.92,290.5,2025,January,1,01-01-2025,31-12-2025,171656,10,83645.5,8
ZiVA158,16-01-2026,OZ4,VA1,2,1998,1344.08,282.71,2026,January,1,01-01-2026,31-12-2026,271728,7,109108.47,1
ZiVA159,29-07-2024,OZ9,VA9,5,4495,2828.58,441.74,2024,July,3,01-01-2024,31-12-2024,283185,6,106096.5,2
ZiVA160,16-03-2024,OZ7,VA3,4,2396,1570.66,302.58,2024,March,1,01-01-2024,31-12-2024,195274,9,92016.54,7
ZiVA161,25-06-2024,OZ8,VA2,3,1497,835.79,78.48,2024,June,2,01-01-2024,31-12-2024,171656,10,103620.97,3
ZiVA162,24-12-2024,OZ7,VA8,5,2995,1835.34,437.03,2024,December,4,01-01-2024,31-12-2024,195274,9,82367.24,9
ZiVA163,09-06-2025,OZ7,VA4,4,2396,1464.89,356.02,2025,June,2,01-01-2025,31-12-2025,195274,9,83645.5,8
ZiVA164,16-06-2024,OZ5,VA4,3,2397,1384.39,291.91,2024,June,2,01-01-2024,31-12-2024,286042,5,83645.5,8
ZiVA165,05-10-2024,OZ9,VA4,2,1798,1060.42,164.5,2024,October,4,01-01-2024,31-12-2024,283185,6,83645.5,8
ZiVA166,20-07-2025,OZ1,VA2,5,9995,7280.24,1364.42,2025,July,3,01-01-2025,31-12-2025,673663,1,103620.97,3
ZiVA167,23-02-2025,OZ1,VA2,1,1999,1193.64,112.13,2025,February,1,01-01-2025,31-12-2025,673663,1,103620.97,3
ZiVA168,15-09-2025,OZ2,VA7,2,4398,3281.28,496.46,2025,September,3,01-01-2025,31-12-2025,532158,3,101495.94,5
ZiVA169,09-05-2024,OZ3,VA5,1,2499,1489.07,199.13,2024,May,2,01-01-2024,31-12-2024,652239,2,103391.5,4
ZiVA170,13-05-2024,OZ7,VA7,5,2995,1721.27,334.39,2024,May,2,01-01-2024,31-12-2024,195274,9,101495.94,5
ZiVA171,21-04-2025,OZ5,VA1,4,3196,2355.91,435.83,2025,April,2,01-01-2025,31-12-2025,286042,5,109108.47,1
ZiVA172,11-01-2026,OZ6,VA1,2,1598,1139.1,211.89,2026,January,1,01-01-2026,31-12-2026,218926,8,109108.47,1
ZiVA173,20-05-2025,OZ1,VA1,5,9995,6457.46,922.11,2025,May,2,01-01-2025,31-12-2025,673663,1,109108.47,1
ZiVA174,16-07-2024,OZ8,VA6,5,2495,1427.16,169.6,2024,July,3,01-01-2024,31-12-2024,171656,10,76598.8,10
ZiVA175,10-04-2025,OZ1,VA8,5,9995,5669.85,1452.03,2025,April,2,01-01-2025,31-12-2025,673663,1,82367.24,9
ZiVA176,18-10-2024,OZ10,VA9,2,2998,1976.94,361.11,2024,October,4,01-01-2024,31-12-2024,487175,4,106096.5,2
ZiVA177,20-06-2025,OZ10,VA4,3,4497,3156.62,281.12,2025,June,2,01-01-2025,31-12-2025,487175,4,83645.5,8
ZiVA178,09-04-2024,OZ9,VA10,1,899,559.48,55.65,2024,April,2,01-01-2024,31-12-2024,283185,6,92967.49,6
ZiVA179,08-10-2025,OZ4,VA7,5,4995,2863.35,310.87,2025,October,4,01-01-2025,31-12-2025,271728,7,101495.94,5
ZiVA180,08-06-2025,OZ8,VA1,3,1497,930.18,202.47,2025,June,2,01-01-2025,31-12-2025,171656,10,109108.47,1
ZiVA181,26-01-2025,OZ2,VA5,5,10995,6562.25,1261.2,2025,January,1,01-01-2025,31-12-2025,532158,3,103391.5,4
ZiVA182,19-08-2024,OZ6,VA4,2,1598,978.16,81.19,2024,August,3,01-01-2024,31-12-2024,218926,8,83645.5,8
ZiVA183,02-06-2024,OZ1,VA5,3,5997,3551.94,557.93,2024,June,2,01-01-2024,31-12-2024,673663,1,103391.5,4
ZiVA184,14-02-2026,OZ4,VA7,1,999,653.32,69.85,2026,February,1,01-01-2026,31-12-2026,271728,7,101495.94,5
ZiVA185,14-07-2024,OZ5,VA1,1,799,598.75,62.99,2024,July,3,01-01-2024,31-12-2024,286042,5,109108.47,1
ZiVA186,19-02-2025,OZ2,VA5,5,10995,6452.88,844.63,2025,February,1,01-01-2025,31-12-2025,532158,3,103391.5,4
ZiVA187,28-03-2024,OZ9,VA2,3,2697,1581.64,191.6,2024,March,1,01-01-2024,31-12-2024,283185,6,103620.97,3
ZiVA188,20-02-2025,OZ6,VA10,2,1598,976.17,214.16,2025,February,1,01-01-2025,31-12-2025,218926,8,92967.49,6
ZiVA189,10-06-2025,OZ4,VA5,3,2997,2174.85,216.71,2025,June,2,01-01-2025,31-12-2025,271728,7,103391.5,4
ZiVA190,10-03-2024,OZ8,VA8,5,2495,1777.67,128.46,2024,March,1,01-01-2024,31-12-2024,171656,10,82367.24,9
ZiVA191,04-09-2025,OZ9,VA1,4,3596,2034.63,456.24,2025,September,3,01-01-2025,31-12-2025,283185,6,109108.47,1
ZiVA192,09-10-2025,OZ5,VA5,2,1598,1190.12,93.58,2025,October,4,01-01-2025,31-12-2025,286042,5,103391.5,4
ZiVA193,15-02-2026,OZ1,VA7,3,5997,3687.44,719.38,2026,February,1,01-01-2026,31-12-2026,673663,1,101495.94,5
ZiVA194,26-01-2026,OZ1,VA5,4,7996,5253.51,806.74,2026,January,1,01-01-2026,31-12-2026,673663,1,103391.5,4
ZiVA195,10-07-2025,OZ7,VA5,1,599,378.45,40.3,2025,July,3,01-01-2025,31-12-2025,195274,9,103391.5,4
ZiVA196,03-11-2025,OZ7,VA2,5,2995,2079.19,395.92,2025,November,4,01-01-2025,31-12-2025,195274,9,103620.97,3
ZiVA197,19-09-2024,OZ10,VA5,5,7495,4155.41,1031.83,2024,September,3,01-01-2024,31-12-2024,487175,4,103391.5,4
